group,number_in_group,home_planet,cryo_sleep,deck,num_in_cabin,side,destination,age,vip,room_service,food_court,shopping_mall,spa,vr_deck,total_spending,transported
1,1,Europa,False,B,0,P,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
2,1,Earth,False,F,0,S,TRAPPIST-1e,24.0,False,109.0,9.0,25.0,549.0,44.0,736.0,1
3,1,Europa,False,A,0,S,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,10383.0,0
3,2,Europa,False,A,0,S,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,5176.0,0
4,1,Earth,False,F,1,S,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,1091.0,1
5,1,Earth,False,F,0,P,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,774.0,1
6,1,Earth,False,F,2,S,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,1584.0,1
7,1,Earth,False,F,3,S,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,1018.0,1
8,1,Europa,True,B,1,P,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
8,3,Europa,False,B,1,P,55 Cancri e,45.0,False,39.0,7295.0,589.0,110.0,124.0,8157.0,1
9,1,Mars,False,F,1,P,TRAPPIST-1e,32.0,False,73.0,0.0,1123.0,0.0,113.0,1309.0,1
10,1,Earth,False,G,1,S,TRAPPIST-1e,48.0,False,719.0,1.0,65.0,0.0,24.0,809.0,0
11,1,Earth,False,F,2,P,TRAPPIST-1e,28.0,False,8.0,974.0,12.0,2.0,7.0,1003.0,1
15,1,Earth,False,F,4,P,55 Cancri e,24.0,False,0.0,1.0,0.0,0.0,637.0,638.0,0
16,1,Mars,True,F,5,P,TRAPPIST-1e,45.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
17,1,Earth,False,G,0,P,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
17,2,Earth,False,F,6,P,55 Cancri e,14.0,False,412.0,0.0,1.0,0.0,679.0,1092.0,0
20,1,Earth,True,E,0,S,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
20,2,Earth,True,E,0,S,55 Cancri e,49.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
20,4,Earth,False,E,0,S,TRAPPIST-1e,10.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
20,6,Earth,False,E,0,S,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
25,1,Earth,False,F,6,S,TRAPPIST-1e,15.0,False,0.0,225.0,0.0,998.0,0.0,1223.0,0
26,1,Europa,False,C,0,P,55 Cancri e,34.0,False,22.0,6073.0,0.0,1438.0,328.0,7861.0,0
28,1,Mars,False,F,8,P,TRAPPIST-1e,43.0,False,1125.0,0.0,136.0,48.0,0.0,1309.0,0
30,1,Earth,False,G,4,S,TRAPPIST-1e,32.0,False,0.0,850.0,81.0,437.0,453.0,1821.0,0
31,1,Mars,False,F,9,P,TRAPPIST-1e,47.0,False,214.0,0.0,1411.0,0.0,1229.0,2854.0,1
31,2,Mars,False,F,9,P,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
34,1,Europa,True,D,1,S,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
35,1,Mars,False,D,1,P,55 Cancri e,23.0,False,784.0,964.0,0.0,951.0,0.0,2699.0,0
38,1,Earth,False,F,10,S,55 Cancri e,20.0,False,554.0,195.0,0.0,2606.0,0.0,3355.0,0
41,1,Earth,True,G,2,P,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
43,1,Europa,False,B,3,P,TRAPPIST-1e,45.0,False,0.0,164.0,45.0,2511.0,855.0,3575.0,0
44,1,Earth,True,G,3,P,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
44,2,Earth,True,G,3,P,55 Cancri e,4.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
44,3,Earth,True,G,3,P,PSO J318.5-22,21.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
45,1,Mars,False,F,10,P,TRAPPIST-1e,21.0,False,970.0,0.0,180.0,0.0,64.0,1214.0,0
51,1,Earth,False,E,2,S,TRAPPIST-1e,56.0,False,0.0,112.0,0.0,1379.0,127.0,1618.0,0
53,1,Earth,False,F,11,S,TRAPPIST-1e,25.0,False,0.0,0.0,1938.0,0.0,1.0,1939.0,1
56,1,Europa,False,A,1,S,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
56,2,Europa,True,A,1,S,TRAPPIST-1e,38.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
56,3,Europa,False,A,1,S,TRAPPIST-1e,27.0,False,279.0,605.0,3374.0,286.0,3.0,4547.0,1
58,1,Earth,True,G,7,S,PSO J318.5-22,36.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
61,1,Earth,False,F,12,S,TRAPPIST-1e,22.0,False,45.0,1096.0,148.0,1377.0,1.0,2667.0,0
62,1,Earth,False,F,13,S,TRAPPIST-1e,62.0,False,0.0,592.0,0.0,17.0,25.0,634.0,0
66,1,Earth,False,G,6,P,TRAPPIST-1e,62.0,False,1.0,153.0,197.0,0.0,460.0,811.0,0
67,1,Earth,True,G,10,S,PSO J318.5-22,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
67,2,Earth,False,G,10,S,TRAPPIST-1e,18.0,False,1.0,258.0,446.0,0.0,0.0,705.0,1
67,3,Earth,False,F,15,S,55 Cancri e,21.0,False,1946.0,37.0,0.0,0.0,24.0,2007.0,0
70,1,Earth,False,F,13,P,TRAPPIST-1e,19.0,False,190.0,0.0,5.0,1.0,726.0,922.0,0
71,1,Earth,False,F,14,P,TRAPPIST-1e,17.0,False,16.0,2165.0,0.0,0.0,52.0,2233.0,0
72,1,Earth,False,F,17,S,TRAPPIST-1e,14.0,False,0.0,1.0,0.0,0.0,1063.0,1064.0,0
73,1,Mars,False,D,3,P,PSO J318.5-22,37.0,False,46.0,83.0,738.0,0.0,12.0,879.0,0
74,1,Europa,False,C,3,S,TRAPPIST-1e,42.0,False,1.0,8397.0,0.0,0.0,506.0,8904.0,1
76,1,Mars,False,F,18,S,TRAPPIST-1e,27.0,False,147.0,0.0,1018.0,0.0,0.0,1165.0,1
77,1,Mars,False,F,15,P,TRAPPIST-1e,28.0,False,14.0,0.0,1295.0,0.0,0.0,1309.0,1
78,1,Europa,False,C,4,S,TRAPPIST-1e,38.0,False,0.0,5840.0,0.0,321.0,9654.0,15815.0,0
81,1,Earth,True,G,13,S,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
82,1,Mars,False,F,16,P,TRAPPIST-1e,42.0,False,7406.0,0.0,0.0,0.0,0.0,7406.0,0
82,2,Mars,True,F,16,P,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
84,1,Earth,False,G,14,S,TRAPPIST-1e,24.0,False,688.0,0.0,0.0,0.0,17.0,705.0,1
85,1,Europa,True,C,5,S,TRAPPIST-1e,40.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
86,1,Earth,False,F,17,P,TRAPPIST-1e,43.0,False,211.0,0.0,0.0,638.0,513.0,1362.0,0
88,1,Mars,True,E,5,S,PSO J318.5-22,45.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
90,1,Earth,True,G,15,S,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
91,2,Earth,False,F,20,S,TRAPPIST-1e,27.0,False,1.0,697.0,31.0,188.0,0.0,917.0,0
92,1,Earth,False,G,9,P,TRAPPIST-1e,19.0,False,0.0,0.0,670.0,1.0,34.0,705.0,0
92,3,Earth,True,G,9,P,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
97,1,Europa,False,A,2,S,TRAPPIST-1e,54.0,False,0.0,1208.0,0.0,3.0,637.0,1848.0,0
98,1,Earth,False,G,11,P,TRAPPIST-1e,26.0,False,0.0,856.0,5.0,32.0,0.0,893.0,0
98,2,Earth,False,G,11,P,TRAPPIST-1e,26.0,False,0.0,2811.0,957.0,0.0,87.0,3855.0,1
99,1,Earth,False,F,19,P,PSO J318.5-22,23.0,False,311.0,427.0,526.0,37.0,0.0,1301.0,0
